レジ,1,■レジMax:10p1p:袋詰めヘルプ3p:お会計のみ対応5p:返品・交換対応10p:１年以上過不足無し,
後方,2,■後方Max：5p3p：荷受対応5p：伝票処理,
eコマーズ,3,■eコマーズMax：5p3p：検品対応5p：発送対応,
テニスガット張り,4,■テニスガット張りMax：10p 5p：加工実行（1人で完結できる）8p：お客様に合わせた最適な加工提案10p：お客様の指名獲得,
スキー・スノボー取付,5,■スキー・ボード取付Max：10p 5p：加工実行（1人で完結できる）8p：お客様に合わせた最適な加工提案10p：お客様の指名獲得,
野球グラブ　紐交換,6,■野球グラブ紐交換Max：10p5p：加工実行（1人で完結できる）8p：お客様に合わせた最適な加工提案10p：お客様の指名獲得,
シューズ接客,7,■接客Max：50p（1カテゴリーMax：10p）対象：5カテゴリー5p：商品毎の違いを説明できる8p：お客様の悩みを聞いて最適な商品提案ができる10p：お客様の指名獲得,
スキー・スノボー接客,8,■接客Max：50p（1カテゴリーMax：10p）対象5カテゴリー 5p：商品毎の違いを説明できる8p：お客様の悩みを聞いて最適な商品提案ができる10p：お客様の指名獲得,
野球接客,9,■接客Max：50p（1カテゴリーMax：10p）対象：5カテゴリー5p：商品毎の違いを説明できる8p：お客様の悩みを聞いて最適な商品提案ができる10p：お客様の指名獲得,
テニス接客,10,■接客Max：50p（1カテゴリーMax：10p）対象：5カテゴリー5p：商品毎の違いを説明できる8p：お客様の悩みを聞いて最適な商品提案ができる10p：お客様の指名獲得,
キャンプ接客,11,■接客Max：50p（1カテゴリーMax：10p）対象：5カテゴリー5p：商品毎の違いを説明できる8p：お客様の悩みを聞いて最適な商品提案ができる10p：お客様の指名獲得,
